institution,state,type,fa_policy,applicants_2013-14,applicants_2014-15,fa_2013-14,fa_2014-15,admitted_2013-14,admitted_2014-15,fa_average,percentage
Biola University,CA,private 4yr,NB & NNB,78,115,952304,1022551,106,115,8892,100
Ohio State University: Columbus Campus,OH,public 4yr,NNB,3206,3312,1779861,1019700,327,217,4699,7
Santa Clara University,CA,private 4yr,NNB,161,173,858560,1017876,27,29,35099,17
Bowling Green State University,OH,public 4yr,NNB,225,241,893092,1017694,92,96,10601,40
St. Norbert College,WI,private 4yr,NB & NNB,55,45,1212680,1014735,71,52,19514,N/A
Harding University,AR,private 4yr,NB & NNB,291,288,1017246,1013406,102,93,10896,32
Wayne State University,MI,public 4yr,NNB,444,420,N/A,1012736,N/A,76,13325,18
Concordia College: Moorhead,MN,private 4yr,NB & NNB,67,68,1257270,1011250,70,54,18727,79
Oklahoma Baptist University,OK,private 4yr,NNB,65,54,920429,1011054,61,66,15319,N/A
University of California: Santa Barbara,CA,public 4yr,NB & NNB,768,1140,972001,1003316,33,39,25726,3
Roanoke College,VA,private 4yr,NB & NNB,28,39,863628,1002226,N/A,38,26374,97
William Jewell College,MO,private 4yr,NB & NNB,28,46,513846,999060,22,43,23234,93
Murray State University,KY,public 4yr,NB & NNB,316,338,668836,996527,111,89,11197,26
Christian Brothers University,TN,private 4yr,NNB,37,39,N/A,988953,N/A,54,18314,N/A
Xavier University,OH,private 4yr,NNB,77,94,582693,987225,43,59,16733,63
Robert Morris University: Chicago,IL,private 4yr,NNB,34,27,802848,985102,48,56,17591,N/A
St. Mary's University,TX,private 4yr,NB & NNB,117,142,N/A,978277,N/A,33,29645,23
University of Wisconsin-Superior,WI,public 4yr,NB & NNB,133,134,947131,978136,N/A,145,6746,N/A
Wagner College,NY,private 4yr,NNB,52,45,1171006,977018,44,38,25711,84
Sewanee: The University of the South,TN,private 4yr,NB & NNB,41,44,1013330,975618,31,29,33642,66
Rocky Mountain College,MT,private 4yr,NNB,40,36,1126801,972960,N/A,48,20270,N/A
University of Missouri: St. Louis,MO,public 4yr,NNB,306,278,802968,972597,73,102,9535,37
Columbus College of Art and Design,OH,private 4yr,NB & NNB,95,82,995267,970650,91,86,11287,N/A
Florida Atlantic University,FL,public 4yr,NB,374,388,948922,970237,63,64,15160,16
Birmingham-Southern College,AL,private 4yr,NB & NNB,N/A,43,547400,967630,34,N/A,16100,N/A
Academy of Art University,CA,for-profit 4yr,NNB,2263,2494,1151184,963296,86,77,12510,3
Johns Hopkins University,MD,private 4yr,NB,467,494,1168502,962950,31,25,38518,5
Point Park University,PA,private 4yr,NNB,101,114,797962,949871,51,59,16100,52
Alabama State University,AL,public 4yr,NNB,113,109,938106,N/A,57,N/A,16458,50
Milwaukee School of Engineering,WI,private 4yr,NNB,200,315,711690,934304,70,83,11257,26
Wittenberg University,OH,private 4yr,NB & NNB,N/A,37,972642,933664,33,33,28293,89
Bucknell University,PA,private 4yr,NB & NNB,185,187,1003000,932186,25,22,42372,12
Caldwell University,NJ,private 4yr,NB & NNB,56,59,N/A,927464,N/A,39,23781,66
McKendree University,IL,private 4yr,NB & NNB,34,42,N/A,926814,N/A,43,21554,N/A
Union College,KY,private 4yr,NNB,45,56,395715,924225,31,56,37900,100
Brenau University,GA,private 4yr,NNB,44,40,976729,923755,34,31,29799,78
Hiram College,OH,private 4yr,NNB,48,35,922865,N/A,N/A,N/A,N/A,N/A
Bard College at Simon's Rock,MA,private 4yr,NB & NNB,34,49,699944,920920,29,35,26312,71
Pace University: Pleasantville/Briarcliff,NY,private 4yr,NNB,N/A,44,N/A,916046,N/A,39,23488,89
Barnard College,NY,private 4yr,NB,176,189,647025,916021,15,19,48212,10
Loyola University New Orleans,LA,private 4yr,NNB,92,87,1061972,908224,64,53,17136,61
Coastal Carolina University,SC,public 4yr,NNB,107,93,945480,905205,36,35,25863,38
Catawba College,NC,private 4yr,NB & NNB,34,34,814896,903922,31,34,26586,100
Fresno Pacific University,CA,private 4yr,NB & NNB,44,52,902799,N/A,47,N/A,19208,N/A
Walsh University,OH,private 4yr,NNB,60,65,994878,902600,57,53,17030,82
Embry-Riddle Aeronautical University,FL,private 4yr,NB & NNB,744,735,897768,899107,203,189,4757,26
Allegheny College,PA,private 4yr,NNB,46,48,859230,897975,46,48,18708,100
College of Saint Mary,NE,private 4yr,NB & NNB,4,7,126620,891396,4,29,30738,N/A
San Diego State University,CA,public 4yr,NB & NNB,1286,1566,944000,888000,60,70,12686,4
Oregon State University,OR,public 4yr,NB & NNB,1280,1375,421758,872994,84,154,5669,11
Lee University,TN,private 4yr,NNB,189,201,795074,869046,122,134,6485,67
University of Louisiana at Lafayette,LA,public 4yr,NNB,314,334,664728,866384,290,96,9025,29
Clarkson University,NY,private 4yr,NNB,77,74,834161,858440,61,61,14073,82
Marymount University,VA,private 4yr,NB & NNB,214,239,659146,856217,50,70,12232,29
Rhodes College,TN,private 4yr,NB & NNB,43,47,767937,855505,43,42,20369,89
University of Findlay,OH,private 4yr,NNB,212,304,512256,849191,96,169,5025,56
University of South Carolina: Columbia,SC,public 4yr,NNB,270,300,1073542,848359,85,117,7251,39
University of Southern Mississippi,MS,public 4yr,NB & NNB,76,82,906106,847812,68,57,14874,70
Columbia College,MO,private 4yr,NNB,107,153,900941,846972,53,48,17645,31
Illinois College,IL,private 4yr,NNB,29,26,N/A,835361,N/A,40,20884,N/A
University of Mobile,AL,private 4yr,NNB,45,53,834011,N/A,N/A,N/A,N/A,N/A
Keuka College,NY,private 4yr,NB & NNB,61,55,831916,N/A,68,N/A,12234,N/A
College of Saint Rose,NY,private 4yr,NB & NNB,39,39,629097,831138,32,50,16622,N/A
East Carolina University,NC,public 4yr,NNB,87,84,753943,820998,36,40,20525,48
Olivet Nazarene University,IL,private 4yr,NB & NNB,29,N/A,814122,N/A,31,N/A,26262,N/A
Mannes College The New School for Music,NY,private 4yr,NB & NNB,58,N/A,813777,N/A,42,N/A,19376,N/A
Wayland Baptist University,TX,private 4yr,NB & NNB,44,48,663790,812668,43,N/A,15437,98
Monmouth University,NJ,private 4yr,NNB,37,35,781039,812216,34,33,24613,94
St. Catherine University,MN,private 4yr,NB & NNB,36,31,N/A,799914,N/A,N/A,N/A,N/A
University of Science and Arts of Oklahoma,OK,public 4yr,NB & NNB,57,68,716408,798336,57,66,12096,97
Northwestern College,IA,private 4yr,NB & NNB,32,36,617688,797753,36,36,22160,100
Randolph-Macon College,VA,private 4yr,NNB,27,25,780402,772670,N/A,29,26644,N/A
Bellarmine University,KY,private 4yr,NB & NNB,32,27,771217,N/A,32,N/A,24101,100
Dallas Baptist University,TX,private 4yr,NNB,211,217,703191,766125,126,122,6280,56
California College of the Arts,CA,private 4yr,NNB,326,414,709950,763125,83,81,9421,20
Seattle Pacific University,WA,private 4yr,NNB,69,76,N/A,750536,N/A,55,13646,72
Francis Marion University,SC,public 4yr,NNB,44,49,693569,748755,N/A,59,12691,N/A
Mount Mercy University,IA,private 4yr,NNB,49,42,745200,747870,50,44,16997,N/A
Bloomfield College,NJ,private 4yr,NB & NNB,65,69,1025121,747815,61,65,11505,94
Newberry College,SC,private 4yr,NNB,35,41,790868,742678,30,28,26524,68
University of Tennessee: Knoxville,TN,public 4yr,NB,316,299,359226,741947,63,97,7649,32
Marshall University,WV,public 4yr,NNB,103,106,521562,741576,40,44,16854,42
Hope College,MI,private 4yr,NB & NNB,67,67,736318,736318,57,57,12918,85
Harvey Mudd College,CA,private 4yr,NB & NNB,88,100,569866,732896,16,34,21556,34
Grand View University,IA,private 4yr,NNB,35,41,455778,730457,35,41,17816,100
St. Andrews University,NC,private 4yr,NNB,52,67,776152,730056,68,65,11232,97
Benedictine College,KS,private 4yr,NB & NNB,52,57,595589,722757,37,46,15712,81
McDaniel College,MD,private 4yr,NNB,12,22,677700,719560,N/A,22,32707,100
Dowling College,NY,private 4yr,NNB,76,55,549081,716989,41,79,9076,N/A
Maryville College,TN,private 4yr,NB & NNB,42,33,699372,715040,36,32,22345,97
University of Central Oklahoma,OK,public 4yr,NNB,1106,1114,708383,708383,229,229,3093,21
Bloomsburg University of Pennsylvania,PA,public 4yr,NB,106,94,347189,707622,47,90,7862,96
Southeastern Louisiana University,LA,public 4yr,NNB,187,204,3177140,706951,187,138,5123,68
Colorado State University,CO,public 4yr,NNB,682,885,117026,706547,24,55,12846,6
University of St. Thomas,MN,private 4yr,NB & NNB,183,193,730436,703304,28,28,12411,15
Whitworth University,WA,private 4yr,NB & NNB,38,45,698280,N/A,33,N/A,21160,87
Montreat College,NC,private 4yr,NB & NNB,32,39,606415,697412,32,34,20512,87
Lincoln Memorial University,TN,private 4yr,NNB,39,N/A,691360,N/A,N/A,N/A,N/A,N/A
Cornerstone University,MI,private 4yr,NNB,36,47,216098,688189,12,47,14642,100
Azusa Pacific University,CA,private 4yr,NNB,121,113,614485,682786,73,86,7939,76
University of Akron,OH,public 4yr,NNB,268,325,130440,682416,24,N/A,6378,9
Judson University,IL,private 4yr,NB & NNB,39,30,469867,678895,31,40,16972,N/A
Haverford College,PA,private 4yr,NB,66,66,645377,676512,13,12,56376,18
Widener University,PA,private 4yr,NNB,96,139,390434,676480,22,39,17345,28
Muskingum University,OH,private 4yr,NNB,62,59,672305,N/A,59,N/A,11395,95
Southwestern University,TX,private 4yr,NNB,22,46,418140,672170,21,33,20369,72
Southeastern Oklahoma State University,OK,public 4yr,NNB,106,89,809293,671200,101,80,8390,90
Utah Valley University,UT,public 4yr,NNB,382,554,13649,663383,18,108,6142,19
University of Nebraska - Kearney,NE,public 4yr,NNB,309,282,661513,N/A,249,N/A,2657,81
Roberts Wesleyan College,NY,private 4yr,NB & NNB,35,44,605605,659935,28,31,21288,70
New England College,NH,private 4yr,NB & NNB,63,48,729948,654587,50,42,15585,88
Millsaps College,MS,private 4yr,NNB,23,27,555926,653874,22,25,26155,93
Creighton University,NE,private 4yr,NB & NNB,71,103,487322,647505,34,45,14389,44
Lone Star College System,TX,public 2yr,NB,N/A,2498,162504,642859,N/A,301,2135,12
Saint Michael's College,VT,private 4yr,NB & NNB,52,57,590721,641721,49,43,14924,75
SUNY College at Oswego,NY,public 4yr,NNB,116,136,487859,640430,73,98,6535,72
Tusculum College,TN,private 4yr,NB & NNB,37,42,N/A,630230,N/A,37,17033,88
Lewis-Clark State College,ID,public 4yr,NNB,85,111,N/A,620813,N/A,68,9130,61
Post University,CT,for-profit 4yr,NNB,38,21,N/A,618489,N/A,38,16276,N/A
Huntington University,IN,private 4yr,NB & NNB,42,38,546880,613990,44,38,16158,100
Gonzaga University,WA,private 4yr,NNB,131,89,1491931,613205,65,63,9733,71
Friends University,KS,private 4yr,NB & NNB,43,N/A,N/A,608776,N/A,49,12424,N/A
Occidental College,CA,private 4yr,NB & NNB,78,106,604683,607877,15,15,40525,14
Southwest Baptist University,MO,private 4yr,NNB,34,N/A,606424,N/A,34,N/A,17836,N/A
University of Montevallo,AL,public 4yr,NNB,35,36,604511,N/A,N/A,N/A,N/A,N/A
Ouachita Baptist University,AR,private 4yr,NNB,29,32,624798,602912,N/A,32,18841,100
Coe College,IA,private 4yr,NB & NNB,25,30,N/A,597020,N/A,27,22112,90
University of Minnesota: Twin Cities,MN,public 4yr,NB & NNB,2642,2787,N/A,596850,N/A,180,3316,6
California Institute of the Arts,CA,private 4yr,NB & NNB,124,90,595858,N/A,61,N/A,9768,49
Assumption College,MA,private 4yr,NNB,23,35,395836,594775,14,25,23791,71
Georgian Court University,NJ,private 4yr,NB & NNB,15,19,356295,594284,15,19,31278,100
Morningside College,IA,private 4yr,NNB,20,23,417548,589625,30,33,17867,N/A
Chestnut Hill College,PA,private 4yr,NNB,22,23,580903,584600,N/A,28,20878,N/A
"St. Joseph's College, New York",NY,private 4yr,NNB,1,1,441923,573872,35,39,14715,N/A
Cleveland State University,OH,public 4yr,NB & NNB,547,570,694096,565915,47,37,15295,6
Philadelphia University,PA,private 4yr,NNB,89,108,390010,565430,47,51,11087,47
Manchester University,IN,private 4yr,NB & NNB,24,27,528425,562000,N/A,N/A,N/A,N/A
College of the Ozarks,MO,private 4yr,NB & NNB,33,29,490908,560804,33,38,14758,N/A
Roger Williams University,RI,private 4yr,NNB,216,225,683694,560218,54,44,12732,20
Lewis University,IL,private 4yr,NB & NNB,37,37,507173,557137,23,24,23214,65
LeTourneau University,TX,private 4yr,NB & NNB,97,84,415698,556667,48,56,9940,67
Mount Vernon Nazarene University,OH,private 4yr,NNB,7,23,118475,553599,7,23,24070,100
University of Pikeville,KY,private 4yr,NB,33,40,485856,553543,32,39,14193,98
Malone University,OH,private 4yr,NNB,25,20,602088,551575,24,20,27579,100
Wright State University,OH,public 4yr,NNB,595,685,N/A,551143,N/A,100,5511,15
Sierra Nevada College,NV,private 4yr,NB & NNB,33,23,355688,549712,18,N/A,19760,55
University of Texas-Pan American,TX,public 4yr,NB & NNB,365,350,531075,545704,127,160,3411,46
California University of Pennsylvania,PA,public 4yr,NNB,45,50,N/A,542022,N/A,44,12319,88
Drew University,NJ,private 4yr,NNB,47,64,301777,540600,23,36,15017,56
Simpson College,IA,private 4yr,NB & NNB,19,11,530166,537988,18,19,28315,N/A
Sam Houston State University,TX,public 4yr,NNB,202,215,569375,535903,40,51,10508,24
Marietta College,OH,private 4yr,NNB,166,155,847290,534250,122,71,7525,46
University of New Haven,CT,private 4yr,NNB,357,420,N/A,531622,N/A,33,16109,8
Goucher College,MD,private 4yr,NB & NNB,29,33,565513,528882,22,20,26444,61
East Stroudsburg University of Pennsylvania,PA,public 4yr,NNB,33,34,324621,527725,27,83,6358,N/A
Concord University,WV,public 4yr,NB & NNB,103,122,N/A,526037,N/A,92,5718,75
SUNY College at Geneseo,NY,public 4yr,NNB,130,137,522462,525000,117,130,4038,95
Averett University,VA,private 4yr,NB & NNB,62,42,N/A,524510,N/A,N/A,N/A,N/A
Franklin W. Olin College of Engineering,MA,private 4yr,NNB,23,23,524998,522000,23,23,22696,100
University of Houston,TX,public 4yr,NB & NNB,1433,1461,406015,520080,191,269,1933,18
Emory University,GA,private 4yr,NNB,1162,1196,515522,N/A,35,N/A,14729,3
University of Dallas,TX,private 4yr,NB & NNB,41,36,N/A,514411,N/A,36,14289,100
Marymount California University,CA,private 4yr,NB & NNB,145,230,429806,512720,34,34,15080,15
Green Mountain College,VT,private 4yr,NB & NNB,22,18,643778,511929,22,18,28440,100
Wheaton College,IL,private 4yr,NB & NNB,45,62,285349,508039,18,22,19893,35
University of Wisconsin-Green Bay,WI,public 4yr,NB & NNB,96,81,496129,507712,N/A,48,10577,59
Morehouse College,GA,private 4yr,NB,38,N/A,502110,N/A,21,N/A,23910,N/A
University of North Carolina at Greensboro,NC,public 4yr,NNB,246,268,618715,499796,43,33,15145,12
Ripon College,WI,private 4yr,NNB,32,26,577122,494384,26,22,22472,85
University of Alaska Fairbanks,AK,public 4yr,NNB,68,61,1062282,493161,39,35,14090,57
Culver-Stockton College,MO,private 4yr,NNB,14,50,236810,492719,14,30,16424,60
Towson University,MD,public 4yr,NNB,377,310,688136,490337,76,62,7909,20
Nazareth College,NY,private 4yr,N/A,31,38,563807,482585,N/A,40,12064,N/A
Lipscomb University,TN,private 4yr,NB & NNB,62,60,525120,481980,60,60,8033,100
Saint Anselm College,NH,private 4yr,NB & NNB,11,12,N/A,481411,N/A,11,43765,92
Central Washington University,WA,public 4yr,NNB,404,62,128256,481166,24,120,4009,N/A
University of Great Falls,MT,private 4yr,NB & NNB,21,24,394335,480236,23,26,18471,N/A
University of Massachusetts Lowell,MA,public 4yr,NNB,201,297,236716,476330,46,95,5014,32
Midwestern State University,TX,public 4yr,NB & NNB,284,391,318046,474043,154,232,2043,59
Pacific University,OR,private 4yr,NB & NNB,31,35,378850,474000,23,26,18231,74
University of Wisconsin-Stevens Point,WI,public 4yr,NNB,165,148,461729,473270,83,70,6761,47
Houghton College,NY,private 4yr,NB & NNB,63,90,472352,N/A,34,N/A,13893,54
Treasure Valley Community College,OR,public 2yr,NNB,1,N/A,467749,N/A,N/A,N/A,N/A,N/A
North Carolina Central University,NC,public 4yr,NNB,33,22,465893,N/A,20,N/A,23295,61
Texas A&M University-Corpus Christi,TX,public 4yr,NNB,294,263,465416,N/A,197,N/A,3248,67
Huston-Tillotson University,TX,private 4yr,NB & NNB,30,43,463724,N/A,31,N/A,14959,N/A
Samford University,AL,private 4yr,NB & NNB,91,90,384645,462330,15,22,21015,24
Ferris State University,MI,public 4yr,NB & NNB,239,217,600676,462259,73,56,8255,26
Westmont College,CA,private 4yr,NB & NNB,21,20,459450,N/A,20,N/A,22973,95
Philander Smith College,AR,private 4yr,NB & NNB,43,34,122562,458053,N/A,34,13472,100
Albion College,MI,private 4yr,NB & NNB,39,30,551267,457895,33,26,17611,87
Barton College,NC,private 4yr,NB & NNB,24,30,457493,N/A,23,N/A,19891,96
Le Moyne College,NY,private 4yr,NNB,15,18,353569,451033,21,21,21478,N/A
Carson-Newman University,TN,private 4yr,NB & NNB,32,34,207036,450860,27,33,13662,97
"Indiana University-Purdue University Fort
Wayne",IN,public 4yr,NB & NNB,162,148,411383,449691,N/A,37,12154,25
"Louisiana State University and Agricultural
and Mechanical College",LA,public 4yr,NNB,407,428,1093634,449235,74,37,12141,9
La Roche College,PA,private 4yr,NNB,174,181,341760,448000,40,33,13576,18
Dominican University,IL,private 4yr,NB & NNB,57,68,259880,447500,18,27,16574,40
Idaho State University,ID,public 4yr,NNB,778,1230,N/A,446650,N/A,82,5447,7
Guilford College,NC,private 4yr,NNB,31,32,460499,444453,24,22,20202,69
Garrett College,MD,public 2yr,NB & NNB,8,13,442881,N/A,531,N/A,834,N/A
Hillsdale College,MI,private 4yr,NB & NNB,N/A,N/A,N/A,441636,N/A,20,22082,N/A
Xavier University of Louisiana,LA,private 4yr,NNB,51,55,N/A,440317,N/A,27,16308,49
Northwood University: Texas,TX,private 4yr,NNB,29,3,439979,N/A,27,N/A,16296,93
Manhattan School of Music,NY,private 4yr,NB & NNB,143,N/A,436467,N/A,N/A,N/A,N/A,N/A
St. Thomas Aquinas College,NY,private 4yr,NB,20,26,358760,432749,N/A,20,21637,77
Muhlenberg College,PA,private 4yr,NB & NNB,15,28,431632,N/A,11,N/A,39239,73
Northwest Nazarene University,ID,private 4yr,NNB,24,30,298581,430012,24,26,16539,87
Corban University,OR,private 4yr,NB & NNB,5,16,333334,425014,N/A,24,17709,N/A
Austin College,TX,private 4yr,NNB,32,35,424400,N/A,N/A,N/A,N/A,N/A
University of South Carolina: Aiken,SC,public 4yr,NB & NNB,56,100,469364,424039,39,51,8314,51
Maryville University of Saint Louis,MO,private 4yr,NB & NNB,76,91,276488,422400,38,45,9387,49
University of Wisconsin-Eau Claire,WI,public 4yr,NB & NNB,206,212,507160,420936,124,118,3567,56
Holy Names University,CA,private 4yr,NB & NNB,16,23,380111,420677,16,20,21034,87
"Eugene Lang College The New School for
Liberal Arts",NY,private 4yr,NB & NNB,89,N/A,420482,N/A,40,N/A,10512,N/A
Mount St. Mary's University,MD,private 4yr,NB & NNB,18,17,217174,419298,N/A,16,13794,94
Radford University,VA,public 4yr,NB & NNB,49,59,414549,N/A,75,N/A,5527,N/A
Susquehanna University,PA,private 4yr,NB & NNB,29,34,364770,413200,18,23,17965,68
University of St. Francis,IL,private 4yr,NB & NNB,19,25,362432,411420,18,19,21654,76
Case Western Reserve University,OH,private 4yr,NB & NNB,375,442,128000,410617,9,31,13246,7
School of the Museum of Fine Arts,MA,private 4yr,NB & NNB,35,38,387950,410563,N/A,36,11405,95
Lees-McRae College,NC,private 4yr,NB & NNB,17,21,382600,408150,N/A,23,17746,N/A
Chaminade University of Honolulu,HI,private 4yr,NB & NNB,24,26,N/A,406669,N/A,34,11961,N/A
Alderson-Broaddus University,WV,private 4yr,NNB,31,35,406000,N/A,29,N/A,14000,94
Purdue University,IN,public 4yr,NNB,4935,5240,280540,400578,189,191,2097,4
Faulkner University,AL,private 4yr,NNB,45,43,N/A,400000,N/A,46,8696,N/A
Spelman College,GA,private 4yr,NB & NNB,30,32,399930,399927,15,15,26662,47
Northwest Missouri State University,MO,public 4yr,NB & NNB,116,182,291725,399382,36,47,8498,26
Southern Arkansas University,AR,public 4yr,NNB,83,83,336510,398759,45,54,7384,65
Texas State University,TX,public 4yr,NB & NNB,136,149,328582,392302,32,36,10897,24
Capital University,OH,private 4yr,NNB,31,44,295868,385980,17,24,16083,55
Albright College,PA,private 4yr,NB & NNB,72,55,311830,385890,25,24,16079,44
University of La Verne,CA,private 4yr,NB & NNB,123,135,320032,383647,37,36,10657,27
St. Mary's University of Minnesota,MN,private 4yr,NNB,44,42,375340,381836,28,24,15909,57
University of Central Missouri,MO,public 4yr,NB & NNB,224,N/A,379576,N/A,192,N/A,1977,N/A
Dickinson State University,ND,public 4yr,NNB,91,74,361488,377921,102,58,6516,78
Coker College,SC,private 4yr,NB & NNB,22,N/A,377273,N/A,22,N/A,17149,N/A
Wheeling Jesuit University,WV,private 4yr,NNB,31,33,N/A,374820,N/A,23,16459,69
Scripps College,CA,private 4yr,NB & NNB,40,41,392973,372520,13,12,31043,29
Texas A&M University-Kingsville,TX,public 4yr,NNB,99,104,N/A,372252,N/A,59,6309,57
Regis University,CO,private 4yr,NB & NNB,41,45,257942,369200,N/A,26,14200,58
Midland University,NE,private 4yr,NB & NNB,25,N/A,368163,N/A,19,N/A,19377,N/A
Campbellsville University,KY,private 4yr,NB & NNB,176,179,363090,363083,19,19,19110,11
Pacific Union College,CA,private 4yr,NB,26,46,395145,358340,26,41,8740,89
Simmons College,MA,private 4yr,NNB,55,53,209600,351960,24,24,14665,45
SUNY Polytechnic Institute,NY,public 4yr,NNB,14,25,N/A,351632,N/A,37,9504,N/A
Curry College,MA,private 4yr,NNB,31,39,N/A,349000,N/A,26,13423,67
Marist College,NY,private 4yr,NNB,80,95,347555,N/A,30,N/A,11585,38
Anderson University,SC,private 4yr,NNB,N/A,16,589344,347001,51,47,7383,N/A
Our Lady of the Lake University of San Antonio,TX,private 4yr,NB,16,14,274232,346172,N/A,21,16484,N/A
Hamline University,MN,private 4yr,NB & NNB,32,30,345495,N/A,31,N/A,10860,97
University of Maine at Fort Kent,ME,public 4yr,NB & NNB,91,110,N/A,342498,N/A,39,8782,35
University of Northern Iowa,IA,public 4yr,NNB,332,358,319978,338142,64,83,4074,23
Longwood University,VA,public 4yr,NNB,36,38,511027,336830,21,19,17728,50
University of Scranton,PA,private 4yr,NB & NNB,13,16,406340,336129,11,7,48018,44
North Dakota State College of Science,ND,public 2yr,NB & NNB,N/A,24,311170,335968,29,32,10499,N/A
Union College,NE,private 4yr,NB & NNB,69,55,1466542,334731,68,54,37900,98
Minot State University,ND,public 4yr,NNB,N/A,311,N/A,333872,N/A,112,2981,36
AIB College of Business,IA,private 4yr,NNB,28,N/A,333472,N/A,32,N/A,10421,N/A
Claremont McKenna College,CA,private 4yr,NB & NNB,189,215,243291,329115,6,15,21941,7
Marian University,WI,private 4yr,NNB,30,48,190360,327380,20,30,10913,63
Spring Arbor University,MI,private 4yr,NB & NNB,N/A,21,414501,327264,32,24,13636,N/A
Georgia State University,GA,public 4yr,NNB,395,403,N/A,325728,N/A,116,2808,29
Defiance College,OH,private 4yr,NNB,11,13,325300,N/A,11,N/A,29573,100
Culinary Institute of America,NY,private 4yr,NNB,N/A,282,184800,321560,75,125,2572,44
University of North Florida,FL,public 4yr,NNB,184,206,235489,320854,100,140,2292,68
"Florida Agricultural and Mechanical
University",FL,public 4yr,NNB,67,57,87484,320256,15,16,20016,28
Warren Wilson College,NC,private 4yr,NNB,N/A,17,315722,317120,22,17,18654,100
Baldwin Wallace University,OH,private 4yr,NNB,48,35,158580,316000,15,25,12640,71
McNally Smith College of Music,MN,private 4yr,NNB,N/A,26,N/A,313488,N/A,21,14928,81
Mars Hill University,NC,private 4yr,NNB,N/A,N/A,519413,312550,30,24,13023,N/A
Hood College,MD,private 4yr,NB & NNB,31,28,376488,309822,25,23,13470,82
Eastern University,PA,private 4yr,NNB,49,55,300804,308928,42,50,6179,91
Flagler College,FL,private 4yr,NNB,95,103,139900,302740,15,37,8182,36
Carroll College,MT,private 4yr,NB & NNB,15,20,157260,302709,6,16,18919,80
Cleveland Institute of Art,OH,private 4yr,NNB,24,39,163286,302586,19,29,10434,74
Baker University,KS,private 4yr,NB & NNB,4,21,301875,N/A,N/A,N/A,N/A,N/A
Champlain College,VT,private 4yr,NB & NNB,32,32,210874,301334,8,24,12556,75
Lenoir-Rhyne University,NC,private 4yr,NNB,15,19,N/A,300629,N/A,12,25052,63
Trinity Christian College,IL,private 4yr,NB & NNB,31,46,305941,300080,19,21,14290,46
University of Idaho,ID,public 4yr,NB & NNB,288,360,250000,300000,50,60,5000,17
Southwestern College,KS,private 4yr,NNB,42,63,302932,299880,31,30,9996,48
Colorado State University: Pueblo,CO,public 4yr,NB & NNB,61,80,N/A,299209,N/A,59,5071,74
Lubbock Christian University,TX,private 4yr,NNB,27,29,393960,298602,36,24,12442,83
University of North Alabama,AL,public 4yr,NNB,254,243,78442,297446,N/A,30,9915,12
Lincoln University,MO,public 4yr,NNB,46,50,342336,295610,24,20,14781,40
Emerson College,MA,private 4yr,NNB,173,204,178612,295579,14,17,17387,8
Hampden-Sydney College,VA,private 4yr,NB & NNB,3,1,401990,295372,13,N/A,30922,N/A
Transylvania University,KY,private 4yr,NNB,23,36,295336,N/A,19,N/A,15544,83
California State University: Fresno,CA,public 4yr,NNB,684,864,252042,292404,14,23,12713,3
Cuyahoga Community College,OH,public 2yr,NNB,238,276,N/A,291070,N/A,65,4478,24
The King's College,NY,private 4yr,NB & NNB,17,19,235186,290660,12,15,19377,79
Loras College,IA,private 4yr,NNB,38,27,658616,287631,38,N/A,10653,100
University of Pittsburgh at Bradford,PA,public 4yr,NNB,48,55,251713,281752,29,36,7826,65
Lyon College,AR,private 4yr,NNB,17,23,280800,N/A,12,N/A,23400,71
Arkansas Tech University,AR,public 4yr,NNB,290,312,370908,280657,18,21,13365,7
Central Michigan University,MI,public 4yr,NNB,270,345,N/A,280384,N/A,41,6839,12
Ursuline College,OH,private 4yr,NNB,11,7,255078,279769,13,17,16457,N/A
D'Youville College,NY,private 4yr,NNB,125,102,624891,279258,72,32,8727,31
Lynchburg College,VA,private 4yr,NNB,24,54,236313,278076,21,25,11123,46
Nyack College,NY,private 4yr,NB & NNB,85,94,N/A,275475,N/A,89,3095,95
Bridgewater College,VA,private 4yr,NNB,13,13,284160,272779,12,11,24798,85
University of the Arts,PA,private 4yr,NNB,92,81,270000,N/A,27,N/A,10000,29
Saint Mary's College,IN,private 4yr,NB & NNB,24,23,457010,269760,N/A,11,24524,48
Virginia Commonwealth University,VA,public 4yr,NNB,644,720,176556,269056,23,34,7913,5
Fort Lewis College,CO,public 4yr,NNB,22,24,313786,266096,23,16,16631,67
St. Augustine's University,NC,private 4yr,NNB,24,18,N/A,265851,N/A,14,18989,78
SUNY College of Technology at Canton,NY,public 2yr,NB & NNB,83,47,N/A,265410,N/A,67,3961,N/A
Notre Dame de Namur University,CA,private 4yr,NNB,47,36,N/A,265103,N/A,15,17674,42
Franklin Pierce University,NH,private 4yr,NB & NNB,18,N/A,265000,N/A,N/A,N/A,N/A,N/A
University of North Carolina at Pembroke,NC,public 4yr,NB & NNB,38,44,226502,264318,16,18,14684,41
Tabor College,KS,private 4yr,NNB,18,12,270150,262909,15,15,17527,N/A
Kettering University,MI,private 4yr,NNB,65,92,N/A,262315,N/A,34,7715,37
Columbia College,SC,private 4yr,NNB,3,N/A,262204,N/A,18,N/A,17645,N/A
"City University of New York: College of
Staten Island",NY,public 4yr,NB & NNB,338,320,N/A,261950,N/A,28,9355,9
Washington & Jefferson College,PA,private 4yr,NB,17,22,225920,259330,14,19,13649,86
