institution,state,type,fa_policy,applicants_2013-14,applicants_2014-15,fa_2013-14,fa_2014-15,admitted_2013-14,admitted_2014-15,fa_average,percentage
University of Mississippi,MS,public 4yr,NNB,187,209,1589917,4289523,133,339,12653,N/A
Sarah Lawrence College,NY,private 4yr,NB & NNB,151,183,4036134,4286261,113,119,36019,65
Eastern Michigan University,MI,public 4yr,NNB,387,363,4078200,4206571,198,216,19475,60
Luther College,IA,private 4yr,NB,141,146,3378108,4187442,141,146,28681,100
Wesleyan University,CT,private 4yr,NB & NNB,239,248,4381949,4179668,80,77,54281,31
College of Wooster,OH,private 4yr,NNB,150,166,4232345,4090423,149,161,25406,97
Manhattanville College,NY,private 4yr,NB & NNB,158,152,N/A,4065158,N/A,152,26744,100
University of Toledo,OH,public 4yr,NNB,685,837,4429838,3946293,413,351,11243,42
Knox College,IL,private 4yr,NB & NNB,162,174,3237597,3940597,155,171,22647,98
Quinnipiac University,CT,private 4yr,NB & NNB,127,145,3315862,3935133,95,115,34219,79
Lynn University,FL,private 4yr,NNB,413,440,4025184,3918530,228,230,17037,52
Vassar College,NY,private 4yr,NB,157,171,4228298,3864344,89,79,48916,46
University of Kansas,KS,public 4yr,NB & NNB,971,886,3375310,3828684,206,221,17324,25
University of Nevada: Las Vegas,NV,public 4yr,NB & NNB,841,840,99288,3770482,36,250,15082,30
Michigan State University,MI,public 4yr,NNB,4525,4994,1367041,3752601,192,274,13696,5
University of Evansville,IN,private 4yr,NNB,210,316,2623824,3752501,N/A,194,19343,61
Providence College,RI,private 4yr,NB & NNB,73,81,2779672,3724740,61,79,47150,98
Lake Forest College,IL,private 4yr,NB & NNB,160,148,3722334,N/A,154,N/A,24171,96
Furman University,SC,private 4yr,NB & NNB,108,134,2588687,3673777,83,118,31134,88
Dickinson College,PA,private 4yr,NB & NNB,170,178,4335952,3634096,136,125,29073,70
American University,DC,private 4yr,NNB,470,513,1486168,3607780,92,166,21734,32
Washington and Lee University,VA,private 4yr,NB & NNB,61,72,2988631,3607193,61,69,52278,96
Ohio Valley University,WV,private 4yr,NB & NNB,31,30,3249930,3581270,422,385,9302,N/A
University of Cincinnati,OH,public 4yr,NNB,962,1002,N/A,3546024,N/A,426,8324,43
Stetson University,FL,private 4yr,NNB,120,140,2795798,3540226,109,124,28550,89
Emporia State University,KS,public 4yr,NNB,280,297,883764,3519786,84,320,10999,N/A
Indiana University Bloomington,IN,public 4yr,NB & NNB,3438,3535,3029992,3490676,427,976,3577,28
Marquette University,WI,private 4yr,NNB,285,290,3360007,3413844,259,279,12236,96
Pratt Institute,NY,private 4yr,NB & NNB,708,760,1349018,3386031,N/A,394,8594,52
Union College,NY,private 4yr,NB & NNB,134,148,2706858,3335285,79,88,37900,59
Trinity University,TX,private 4yr,NB & NNB,148,170,2771737,3286606,141,158,20801,93
DePaul University,IN,private 4yr,NNB,228,198,4141525,3253106,223,212,16347,N/A
Saint Louis University,MO,private 4yr,NB & NNB,545,544,3276354,3217685,155,156,20626,29
Wartburg College,IA,private 4yr,NB & NNB,160,158,2611080,3160568,139,155,20391,98
Canisius College,NY,private 4yr,NNB,107,122,N/A,3139061,N/A,122,25730,100
University of Notre Dame,IN,private 4yr,NB,345,385,3118797,3118797,99,99,31503,26
Illinois Wesleyan University,IL,private 4yr,NNB,98,147,2138107,3118535,94,144,21656,98
Arizona State University,AZ,public 4yr,NNB,2752,3705,2523696,3117021,406,546,5709,15
Lawrence University,WI,private 4yr,NB & NNB,141,138,2807856,3083058,136,138,22341,100
